F1,Avg Train Time,Avg Test Time,CLF,Feature Finder,Convert Grey,RootSIFT,PCA First,K Clusters,PCA Ratio,TF-IDF,Incremental Threshold
0.453333333333,3.21740293503,2.9070502758,PassiveAggressiveClassifier,ORB,False,False,True,100.0,0.75,True,20.0
0.453333333333,5.03220057487,3.33832564354,BernoulliNB,ORB,False,False,True,200.0,1.0,False,25.0
0.453333333333,4.26175069809,3.1521709919,SGDClassifier,ORB,True,False,True,200.0,0.25,True,25.0
0.453333333333,3.91332936287,3.17192625999,SGDClassifier,ORB,False,False,True,200.0,0.5,True,20.0
0.453333333333,5.6766108036,4.19234018326,Perceptron,ORB,False,True,True,200.0,1.0,False,25.0
0.453333333333,4.14782938957,3.15190820694,Perceptron,ORB,True,False,True,200.0,0.5,True,15.0
0.452,2.7559648037,2.76754937172,PassiveAggressiveClassifier,ORB,False,False,True,50.0,0.75,True,15.0
0.452,3.85594301224,3.82210464478,BernoulliNB,ORB,True,True,True,100.0,0.25,True,20.0
0.452,3.71669564247,3.81554679871,SGDClassifier,ORB,True,True,True,100.0,0.25,False,10.0
0.452,3.07437877655,2.8963804245,PassiveAggressiveClassifier,ORB,False,False,True,100.0,0.25,False,10.0
0.452,4.31051883698,3.16791782379,PassiveAggressiveClassifier,ORB,False,False,True,200.0,1.0,True,20.0
0.452,4.11310019493,3.17017912865,BernoulliNB,ORB,True,False,True,200.0,1.0,False,20.0
0.452,3.98295693398,3.12600536346,PassiveAggressiveClassifier,ORB,True,False,True,200.0,0.25,False,10.0
0.452,2.29077196121,2.67872781754,PassiveAggressiveClassifier,ORB,False,False,True,25.0,0.25,False,20.0
0.450666666667,3.11732344627,2.89010977745,PassiveAggressiveClassifier,ORB,False,False,True,100.0,0.5,True,15.0
0.450666666667,4.08033642769,3.78786239624,BernoulliNB,ORB,False,True,True,100.0,0.5,False,15.0
0.450666666667,4.93878974915,4.1167555809,PassiveAggressiveClassifier,ORB,False,True,True,200.0,0.5,True,15.0
0.450666666667,2.70779724121,2.72897696495,BernoulliNB,ORB,True,False,True,50.0,0.5,False,15.0
0.450666666667,3.9211689949,3.17918338776,BernoulliNB,ORB,False,False,True,200.0,0.5,True,10.0
0.450666666667,3.42468261719,3.74692516327,SGDClassifier,ORB,False,True,True,50.0,1.0,False,20.0
0.450666666667,3.62072644234,3.11779313087,SGDClassifier,ORB,True,False,True,200.0,0.25,False,20.0
0.450666666667,4.00472168922,3.14660515785,BernoulliNB,ORB,False,False,True,200.0,0.25,False,20.0
0.450666666667,2.58448739052,2.69581513405,PassiveAggressiveClassifier,ORB,False,False,True,25.0,0.75,False,25.0
0.450666666667,3.35128397942,2.90126681328,PassiveAggressiveClassifier,ORB,False,False,True,100.0,0.5,True,25.0
0.450666666667,2.69062995911,2.6683134079,SGDClassifier,ORB,True,False,True,50.0,0.25,False,25.0
0.450666666667,3.37932939529,3.63383760452,SGDClassifier,ORB,True,True,True,25.0,1.0,False,25.0
0.450666666667,3.02317090034,2.87935395241,SGDClassifier,ORB,False,False,True,100.0,0.5,True,20.0
0.450666666667,4.06222977638,3.9000813961,PassiveAggressiveClassifier,ORB,False,True,True,100.0,1.0,True,15.0
0.449333333333,4.39905200005,3.1672065258,SGDClassifier,ORB,True,False,True,200.0,0.5,False,25.0
